target_cliente,target_producto,Semana,cantidad,se_compra
2.5,3.3890237979601747,22,5.0,0
2.5,1.0398089171974523,18,2.0,0
2.5,1.0398089171974523,20,2.0,0
2.5,1.3422053231939164,18,3.0,0
2.5,1.3422053231939164,21,1.0,1
2.5,1.3422053231939164,22,2.0,0
2.5,1.3422053231939164,22,2.0,0
2.5,1.0615079365079365,18,2.0,1
2.5,1.0615079365079365,19,2.0,1
2.5,1.0615079365079365,20,2.0,0
2.5,2.987012987012987,21,2.0,0
2.5,1.089051094890511,21,1.0,0
2.5,1.0676855895196506,18,1.0,0
2.5,1.0676855895196506,22,2.0,0
2.5,1.0676855895196506,22,2.0,0
1.0,1.107371794871795,18,1.0,1
1.0,1.107371794871795,19,1.0,0
1.0,1.7638114546376078,19,1.0,0
1.0,1.0398089171974523,19,1.0,0
1.0,1.099041533546326,19,1.0,0
1.0,1.4461152882205515,18,1.0,0
1.0,2.388888888888889,18,1.0,0
1.0,2.970066518847007,18,1.0,0
1.0,1.275064267352185,18,1.0,0
1.0,3.50066401062417,18,1.0,0
1.0,1.0676855895196506,18,1.0,0
1.0,1.7833333333333334,18,1.0,0
1.0,3.2275449101796405,18,1.0,0
3.375,1.107371794871795,18,1.0,0
3.375,1.107371794871795,20,1.0,1
3.375,1.107371794871795,21,1.0,0
3.375,2.625222024866785,22,3.0,0
3.375,3.3890237979601747,19,6.0,0
3.375,3.3890237979601747,21,6.0,0
3.375,1.2392444910807974,19,1.0,1
3.375,1.2392444910807974,20,2.0,0
3.375,1.2392444910807974,22,1.0,0
3.375,2.970066518847007,19,6.0,1
3.375,2.970066518847007,20,3.0,0
3.375,1.275064267352185,20,1.0,0
3.375,3.50066401062417,19,6.0,1
3.375,3.50066401062417,20,6.0,0
3.375,2.093264248704663,19,3.0,0
3.375,1.3422053231939164,18,2.0,0
3.375,1.0615079365079365,19,1.0,0
3.375,2.7088607594936707,19,6.0,0
3.375,1.091710758377425,19,1.0,1
3.375,1.091710758377425,20,1.0,0
3.375,1.09009009009009,20,1.0,0
3.375,1.089051094890511,20,1.0,0
3.375,1.0780984719864177,20,1.0,0
2.1176470588235294,1.107371794871795,18,1.0,0
2.1176470588235294,1.2613412228796843,18,1.0,0
2.1176470588235294,1.1640112464854733,21,2.0,1
2.1176470588235294,1.1640112464854733,22,1.0,1
2.1176470588235294,1.1640112464854733,23,2.0,0
2.1176470588235294,1.7638114546376078,18,2.0,1
2.1176470588235294,1.7638114546376078,19,4.0,0
2.1176470588235294,1.7638114546376078,23,1.0,0
2.1176470588235294,3.3890237979601747,18,4.0,1
2.1176470588235294,3.3890237979601747,19,6.0,0
2.1176470588235294,3.3890237979601747,22,4.0,0
2.1176470588235294,1.0398089171974523,19,1.0,0
2.1176470588235294,1.3876404494382022,21,2.0,0
2.1176470588235294,1.275064267352185,18,1.0,1
2.1176470588235294,1.275064267352185,19,1.0,0
2.1176470588235294,1.275064267352185,22,1.0,1
2.1176470588235294,1.275064267352185,23,1.0,0
2.1176470588235294,3.50066401062417,18,2.0,1
2.1176470588235294,3.50066401062417,19,6.0,0
2.1176470588235294,3.50066401062417,22,2.0,0
2.1176470588235294,2.093264248704663,22,1.0,0
2.1176470588235294,1.3422053231939164,19,6.0,0
2.1176470588235294,1.3422053231939164,22,4.0,1
2.1176470588235294,1.3422053231939164,23,2.0,0
2.1176470588235294,1.0615079365079365,19,1.0,0
2.1176470588235294,1.091710758377425,18,1.0,1
2.1176470588235294,1.091710758377425,19,1.0,0
2.1176470588235294,1.091710758377425,22,1.0,0
2.1176470588235294,1.0676855895196506,19,1.0,0
2.1176470588235294,1.0676855895196506,23,1.0,0
2.1176470588235294,1.6901408450704225,21,5.0,0
2.1176470588235294,1.0780984719864177,18,1.0,1
2.1176470588235294,1.0780984719864177,19,1.0,0
2.1176470588235294,1.0780984719864177,23,1.0,0
1.0,3.3890237979601747,19,1.0,0
1.0,3.3890237979601747,21,1.0,0
1.2142857142857142,1.2613412228796843,19,1.0,0
1.2142857142857142,1.1640112464854733,22,1.0,0
1.2142857142857142,1.7638114546376078,18,2.0,0
1.2142857142857142,3.3890237979601747,21,1.0,0
1.2142857142857142,1.1394335511982572,21,1.0,0
1.2142857142857142,1.2392444910807974,20,1.0,0
1.2142857142857142,2.970066518847007,21,1.0,0
1.2142857142857142,1.099041533546326,22,1.0,0
1.2142857142857142,4.700952380952381,21,3.0,0
1.2142857142857142,1.3422053231939164,18,1.0,0
1.2142857142857142,1.1846153846153846,19,1.0,0
1.2142857142857142,1.1846153846153846,22,1.0,0
1.2142857142857142,1.091710758377425,21,1.0,0
1.2142857142857142,1.6901408450704225,21,1.0,0
1.826086956521739,1.107371794871795,20,1.0,0
1.826086956521739,1.2613412228796843,19,2.0,0
1.826086956521739,1.2613412228796843,21,1.0,0
1.826086956521739,2.625222024866785,19,2.0,0
1.826086956521739,1.1640112464854733,18,1.0,0
1.826086956521739,1.1640112464854733,20,1.0,1
1.826086956521739,1.1640112464854733,21,1.0,0
1.826086956521739,1.7638114546376078,18,1.0,1
1.826086956521739,1.7638114546376078,19,1.0,1
1.826086956521739,1.7638114546376078,20,1.0,0
1.826086956521739,1.7638114546376078,22,2.0,0
1.826086956521739,3.3890237979601747,19,4.0,0
1.826086956521739,1.1394335511982572,20,1.0,0
1.826086956521739,1.0398089171974523,20,1.0,0
1.826086956521739,3.50066401062417,19,4.0,0
1.826086956521739,4.700952380952381,19,3.0,0
1.826086956521739,4.700952380952381,21,4.0,1
1.826086956521739,4.700952380952381,22,3.0,0
1.826086956521739,1.0615079365079365,20,1.0,0
1.826086956521739,1.091710758377425,22,1.0,0
1.826086956521739,3.5988023952095807,19,2.0,1
1.826086956521739,3.5988023952095807,20,3.0,0
1.826086956521739,1.0676855895196506,22,1.0,0
1.8,1.4461152882205515,21,2.0,0
1.8,2.625222024866785,19,1.0,0
1.8,3.3890237979601747,22,4.0,0
1.8,1.099041533546326,19,1.0,0
1.8,1.099041533546326,21,1.0,0
1.0,1.1640112464854733,18,1.0,0
1.0,1.7638114546376078,18,1.0,0
2.375,1.1640112464854733,22,1.0,0
2.375,1.7638114546376078,19,2.0,0
2.375,3.3890237979601747,19,3.0,0
2.375,1.0398089171974523,19,1.0,0
2.375,1.3876404494382022,22,1.0,0
2.375,3.50066401062417,19,6.0,0
2.375,1.0615079365079365,22,1.0,0
2.375,2.7088607594936707,19,4.0,0
1.4444444444444444,1.107371794871795,21,1.0,0
1.4444444444444444,1.2613412228796843,18,1.0,0
1.4444444444444444,1.2613412228796843,22,1.0,0
1.4444444444444444,2.625222024866785,19,4.0,0
1.4444444444444444,2.625222024866785,21,2.0,0
1.4444444444444444,1.1640112464854733,20,1.0,0
1.4444444444444444,1.1640112464854733,22,1.0,0
1.4444444444444444,1.7638114546376078,18,1.0,0
1.4444444444444444,1.7638114546376078,21,1.0,0
1.4444444444444444,3.3890237979601747,19,2.0,0
1.4444444444444444,3.3890237979601747,21,2.0,0
1.4444444444444444,1.1394335511982572,21,1.0,0
1.4444444444444444,1.0398089171974523,21,1.0,0
1.4444444444444444,1.2392444910807974,21,1.0,0
1.4444444444444444,2.970066518847007,19,2.0,0
1.4444444444444444,1.275064267352185,18,1.0,0
1.4444444444444444,1.3422053231939164,20,1.0,0
1.4444444444444444,1.6901408450704225,22,2.0,0
2.3333333333333335,1.107371794871795,18,1.0,1
2.3333333333333335,1.107371794871795,19,1.0,1
2.3333333333333335,1.107371794871795,20,1.0,0
2.3333333333333335,1.2613412228796843,21,1.0,0
2.3333333333333335,2.625222024866785,18,3.0,1
2.3333333333333335,2.625222024866785,19,5.0,0
2.3333333333333335,1.7638114546376078,18,1.0,0
2.3333333333333335,1.7638114546376078,20,1.0,1
2.3333333333333335,1.7638114546376078,21,1.0,0
2.3333333333333335,3.3890237979601747,18,4.0,1
2.3333333333333335,3.3890237979601747,19,5.0,0
2.3333333333333335,3.3890237979601747,21,5.0,0
2.3333333333333335,1.1394335511982572,18,1.0,1
2.3333333333333335,1.1394335511982572,19,1.0,0
2.3333333333333335,1.0398089171974523,20,1.0,0
2.3333333333333335,1.2392444910807974,20,1.0,1
2.3333333333333335,1.2392444910807974,21,1.0,0
2.3333333333333335,2.388888888888889,18,2.0,0
2.3333333333333335,2.970066518847007,18,4.0,1
2.3333333333333335,2.970066518847007,19,5.0,0
2.3333333333333335,3.50066401062417,18,5.0,1
2.3333333333333335,3.50066401062417,19,5.0,0
2.3333333333333335,3.50066401062417,21,5.0,0
2.3333333333333335,2.093264248704663,18,2.0,0
2.3333333333333335,1.0615079365079365,20,1.0,0
2.3333333333333335,2.7088607594936707,18,2.0,0
2.3333333333333335,1.091710758377425,19,1.0,1
2.3333333333333335,1.091710758377425,20,1.0,0
2.3333333333333335,1.6901408450704225,20,2.0,0
2.3333333333333335,1.0780984719864177,19,1.0,0
1.2692307692307692,1.107371794871795,21,1.0,0
1.2692307692307692,1.4461152882205515,18,1.0,0
1.2692307692307692,1.4461152882205515,22,1.0,0
1.2692307692307692,1.2613412228796843,19,1.0,0
1.2692307692307692,1.2613412228796843,21,1.0,0
1.2692307692307692,1.1640112464854733,21,1.0,0
1.2692307692307692,1.7638114546376078,18,1.0,0
1.2692307692307692,1.7638114546376078,21,1.0,1
1.2692307692307692,1.7638114546376078,22,1.0,0
1.2692307692307692,3.3890237979601747,21,2.0,1
1.2692307692307692,3.3890237979601747,22,2.0,0
1.2692307692307692,1.0398089171974523,22,1.0,0
1.2692307692307692,1.2392444910807974,21,1.0,1
1.2692307692307692,1.2392444910807974,22,1.0,0
1.2692307692307692,2.970066518847007,19,2.0,0
1.2692307692307692,2.970066518847007,21,1.0,1
1.2692307692307692,2.970066518847007,22,2.0,0
1.2692307692307692,3.50066401062417,21,1.0,1
1.2692307692307692,3.50066401062417,22,2.0,0
1.2692307692307692,1.3422053231939164,18,1.0,0
1.2692307692307692,1.0615079365079365,19,1.0,0
1.2692307692307692,1.0615079365079365,22,1.0,0
1.2692307692307692,2.7088607594936707,19,2.0,0
1.2692307692307692,1.091710758377425,21,1.0,0
1.2692307692307692,1.089051094890511,22,1.0,0
1.2692307692307692,3.2275449101796405,19,2.0,0
1.6470588235294117,1.107371794871795,21,1.0,0
1.6470588235294117,1.1640112464854733,20,1.0,1
1.6470588235294117,1.1640112464854733,21,1.0,0
1.6470588235294117,1.7638114546376078,20,2.0,0
1.6470588235294117,3.3890237979601747,20,2.0,1
1.6470588235294117,3.3890237979601747,21,2.0,0
1.6470588235294117,3.3890237979601747,23,1.0,0
1.6470588235294117,1.2392444910807974,21,1.0,0
1.6470588235294117,1.2392444910807974,23,1.0,0
1.6470588235294117,2.970066518847007,20,2.0,0
1.6470588235294117,1.099041533546326,21,1.0,0
1.6470588235294117,4.700952380952381,20,6.0,0
1.6470588235294117,1.3422053231939164,21,1.0,0
1.6470588235294117,1.1846153846153846,21,1.0,0
1.6470588235294117,2.7088607594936707,20,3.0,0
1.6470588235294117,1.089051094890511,20,1.0,0
1.6470588235294117,1.6901408450704225,21,1.0,0
1.4285714285714286,1.107371794871795,18,1.0,0
1.4285714285714286,1.4461152882205515,18,1.0,0
1.4285714285714286,1.1640112464854733,18,1.0,0
1.4285714285714286,1.7638114546376078,18,1.0,0
1.4285714285714286,1.0398089171974523,18,1.0,0
1.4285714285714286,1.2392444910807974,18,1.0,0
1.4285714285714286,4.700952380952381,18,4.0,0
3.3076923076923075,1.107371794871795,21,1.0,0
3.3076923076923075,2.625222024866785,18,6.0,0
3.3076923076923075,1.1640112464854733,21,1.0,0
3.3076923076923075,4.153846153846154,20,5.0,0
3.3076923076923075,3.3890237979601747,20,6.0,0
3.3076923076923075,1.3876404494382022,19,1.0,0
3.3076923076923075,2.970066518847007,20,4.0,0
3.3076923076923075,1.275064267352185,19,2.0,0
3.3076923076923075,3.50066401062417,19,8.0,0
3.3076923076923075,1.3422053231939164,19,1.0,1
3.3076923076923075,1.3422053231939164,20,2.0,0
3.3076923076923075,1.0615079365079365,21,1.0,0
3.3076923076923075,5.142857142857143,20,5.0,0
1.1428571428571428,1.107371794871795,18,1.0,1
1.1428571428571428,1.107371794871795,19,1.0,1
1.1428571428571428,1.107371794871795,20,1.0,0
1.1428571428571428,1.107371794871795,22,1.0,0
1.1428571428571428,1.2613412228796843,20,1.0,1
1.1428571428571428,1.2613412228796843,21,1.0,0
1.1428571428571428,2.625222024866785,20,2.0,0
1.1428571428571428,1.1640112464854733,19,1.0,1
1.1428571428571428,1.1640112464854733,20,1.0,0
1.1428571428571428,1.7638114546376078,18,1.0,0
1.1428571428571428,1.7638114546376078,18,1.0,0
1.1428571428571428,1.7638114546376078,21,1.0,0
1.1428571428571428,3.3890237979601747,18,3.0,0
1.1428571428571428,3.3890237979601747,20,2.0,1
1.1428571428571428,3.3890237979601747,21,2.0,1
1.1428571428571428,3.3890237979601747,22,1.0,0
1.1428571428571428,1.1394335511982572,18,1.0,0
